trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
11,1,1.0,116.81987400003709,117.31996290001553,117.31996290001553,117.31996290001553,117.61969100002898,right,1.0,1,1,-67.50597940001171,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
12,1,1.0,118.2532310000388,118.75346989999525,118.75346989999525,118.75346989999525,119.05317100003595,right,1.0,1,1,-67.49439430003986,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
13,1,1.0,119.70313390000956,120.20327340002405,120.20327340002405,120.20327340002405,120.50291840004502,left,-1.0,1,1,-67.45306050003273,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
14,1,1.0,121.186388000031,121.68649210000876,121.68649210000876,121.68649210000876,121.98644280002918,right,1.0,1,1,-67.5244455000502,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
15,0.5,1.0,122.60299580002902,123.10313450003741,123.10313450003741,123.10313450003741,123.40288609999698,right,1.0,0,0,-67.38938670000061,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
16,0.5,1.5,124.15297180000925,124.65312979998998,124.65312979998998,124.65312979998998,124.95281460002298,right,1.5,0,0,-67.74898360006046,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
17,0.5,2.0,125.35276999999769,125.85308130003978,125.85308130003978,125.85308130003978,126.15266020002309,left,-2.0,1,1,-67.53706660005264,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
18,0.5,2.0,126.75289060000796,127.25296640000306,127.25296640000306,127.25296640000306,127.55274210002972,left,-2.0,1,1,-67.62432180007454,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
19,0.5,2.0,128.06949680001708,128.56962810002733,128.56962810002733,128.56962810002733,128.86937490000855,left,-2.0,1,1,-67.85357880004449,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
20,0.5,1.5,129.15267999999924,129.6532172000152,129.6532172000152,129.6532172000152,129.95267130003776,right,1.5,0,0,-67.89181010000175,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
21,0.5,2.0,130.20284360001097,130.70284680003533,130.70284680003533,130.70284680003533,131.00266290002037,right,2.0,1,1,-67.93540420004865,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
22,0.5,2.0,131.20272340002703,131.70278900000267,131.70278900000267,131.70278900000267,132.00268750003306,right,2.0,1,1,-67.91826670005685,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
23,0.5,2.0,132.21932500001276,132.71950050001033,132.71950050001033,132.71950050001033,133.01915539999027,right,2.0,1,1,-67.84151400002884,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
24,0.5,1.5,133.31927070004167,133.81941130000632,133.81941130000632,133.81941130000632,134.11921610002173,left,-1.5,0,0,-67.77341150003485,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
25,0.5,2.0,134.48587420000695,134.98593480000272,134.98593480000272,134.98593480000272,135.28589170001214,right,2.0,0,0,-67.73708820005413,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
26,0.5,2.5,135.68591669999296,136.185939899995,136.185939899995,136.185939899995,136.4856357999961,left,-2.5,1,1,-66.44474240002455,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
27,0.5,2.5,138.18570610001916,138.68587869999465,138.68587869999465,138.68587869999465,138.98562430002494,left,-2.5,1,1,-67.41094670002349,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
28,0.5,2.5,139.71901410003193,140.21917480003322,140.21917480003322,140.21917480003322,140.5189711000421,right,2.5,1,1,-64.59307050000643,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
29,0.5,2.0,144.06884349999018,144.56894470000407,144.56894470000407,144.56894470000407,144.86892550002085,left,-2.0,1,1,-67.5616858000285,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
30,0.5,2.0,145.45222420000937,145.9523465000093,145.9523465000093,145.9523465000093,146.25204410002334,left,-2.0,1,1,-67.69208060007077,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
31,0.5,2.0,146.70201290003024,147.2021636000136,147.2021636000136,147.2021636000136,147.50197990000015,right,2.0,1,1,-67.2394621000276,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
32,0.5,1.5,148.40202259999933,148.9021892999881,148.9021892999881,148.9021892999881,149.20199020003201,right,1.5,1,1,-67.46492050000234,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
33,0.5,1.5,149.88535250001587,150.38535120000597,150.38535120000597,150.38535120000597,150.68530509999255,left,-1.5,0,0,-67.45787450001808,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
34,0.5,2.0,151.36842870002147,151.86864780000178,151.86864780000178,151.86864780000178,152.16850289999275,left,-2.0,1,1,-67.65761370002292,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
